id	M28-0h-1	M28-0h-2	M28-0h-3	M28-1h-1	M28-1h-2	M28-1h-3	M28-2h-1	M28-2h-2	M28-2h-3	M28-4h-1	M28-4h-2	M28-4h-3	M28-8h-1	M28-8h-2	M28-8h-3	K326-0h-1	K326-0h-2	K326-0h-3	K326-1h-1	K326-1h-2	K326-1h-3	K326-2h-1	K326-2h-2	K326-2h-3	K326-4h-1	K326-4h-2	K326-4h-3	K326-8h-1	K326-8h-2	K326-8h-3
class	EMS_mutant	EMS_mutant	EMS_mutant	EMS_mutant	EMS_mutant	EMS_mutant	EMS_mutant	EMS_mutant	EMS_mutant	EMS_mutant	EMS_mutant	EMS_mutant	EMS_mutant	EMS_mutant	EMS_mutant	K326	K326	K326	K326	K326	K326	K326	K326	K326	K326	K326	K326	K326	K326	K326
Nitab4.5_0000343g0370	1.651443	2.304745	1.464414	0.379297	0.708476	1.223971	1.635006	0	1.031963	1.869672	0.408659	0.453089	0.500451	0.688686	0	0.993459	3.308955	5.032616	0.091731	0.047119	0.410559	0.944721	0.888652	1.450041	1.047887	0.723449	0.336404	0	0.403187	0.476265
Nitab4.5_0002071g0030	8.643669	8.379169	9.497459	8.413538	9.362651	8.312026	7.93405	8.311904	9.082848	9.845591	11.562568	8.88012	8.564774	8.584888	9.277468	7.235301	8.373625	7.63225	6.25197	6.709327	7.232245	8.149914	8.606092	8.626763	8.733895	8.015211	6.254571	6.850092	8.930613	8.202792
Nitab4.5_0002715g0150	28.514118	32.023422	31.566031	23.803646	22.451839	25.735691	20.712202	18.685854	21.570267	22.374483	24.752453	24.631248	24.954727	28.139977	30.39345	24.116747	24.987377	23.909386	26.116007	22.63022	22.539051	18.106354	18.571651	19.473295	20.774984	20.867123	20.717808	27.507637	28.040436	27.518869
Nitab4.5_0004296g0020	3.346406	4.578775	3.462834	4.041696	3.255805	3.464896	3.803085	3.383033	3.508293	5.284625	5.492087	4.261687	5.892712	5.569137	6.058046	2.150905	1.728915	2.782709	2.383552	2.224314	2.711292	2.421872	2.395349	2.645969	2.573921	2.661111	3.139661	4.799004	4.239616	4.015852
Nitab4.5_0001923g0030	15.978695	11.708	12.812562	8.34564	7.63143	9.214974	8.390125	9.369596	8.16634	9.927545	8.668862	10.615685	9.338326	10.072076	12.627907	5.065288	12.128817	12.617788	5.683352	4.294158	7.791477	5.217021	10.485994	8.693186	6.242116	6.84443	4.805976	6.684446	3.28617	7.902246
Nitab4.5_0004640g0030	6.002649	8.1956	6.930693	5.235445	5.623357	6.482753	6.639295	5.596324	5.890943	6.239645	6.166047	6.25911	7.113198	6.606065	8.666312	2.439143	3.049546	2.30309	1.898729	2.004444	2.513984	3.092648	4.231475	4.007593	3.527208	3.88381	4.204711	4.159094	4.28773	3.50653
Nitab4.5_0002542g0050	7.56249	7.964286	8.037021	5.936512	7.670921	9.196992	8.578457	7.539675	6.356435	8.916997	7.257912	7.263963	7.286123	8.912289	7.054263	4.68269	4.573115	5.378374	5.5998	5.725414	6.416271	6.509516	6.749208	5.721259	5.582796	7.167225	5.85578	6.900157	5.804824	7.350023
Nitab4.5_0002428g0060	0.485055	0.354762	0.703652	0.36706	0.156811	0.547521	0.115558	0.036059	0.283247	0.569829	0.70465	0.435761	0.445101	0.408117	0	1.042807	1.355543	0.974359	0.100306	0.450821	0.860321	1.089079	1.294026	0.357263	0.659755	0.745862	1.169712	1.274598	1.026022	0.265105
Nitab4.5_0000617g0160	6.6244	8.554698	7.901925	8.71179	7.456731	7.590673	7.012114	6.366157	7.083739	8.45944	8.305888	7.796532	6.612684	8.69999	9.006326	6.583384	10.513774	8.334491	9.39827	7.151239	7.311613	6.039159	8.912241	6.465213	6.590419	6.483717	5.756941	6.637136	5.819753	7.165214
Nitab4.5_0005048g0030	68.262268	74.762268	72.301399	71.926857	65.312286	79.801895	68.006027	71.794449	70.815758	76.632187	77.530731	75.86097	104.300972	106.658356	113.559792	125.988052	120.433098	114.377197	90.16217	103.047241	72.115334	94.389023	84.456367	85.154716	93.038826	105.191574	93.74231	124.340515	115.260231	116.256516
Nitab4.5_0000355g0060	8.539705	11.314128	10.209466	6.447929	6.939424	8.337331	6.558491	5.019319	7.84587	7.400121	5.857441	7.45205	3.587371	7.809031	7.207806	11.434641	11.458683	12.979415	8.567662	5.857806	5.463099	7.57092	7.530796	7.616408	6.420292	4.939894	6.005094	6.672027	6.079184	8.561895
Nitab4.5_0003709g0100	16.483217	15.764099	18.749624	15.387863	22.250084	21.280577	18.001705	20.944038	16.325676	20.375973	26.169044	24.740864	27.015453	23.687267	15.110156	16.756937	19.342825	21.931837	17.746773	18.173752	18.754099	16.041538	18.077826	22.924543	25.121977	23.411846	19.081751	23.687603	26.156361	26.240519
Nitab4.5_0000827g0110	291.701263	277.161713	251.017868	197.914764	196.272995	207.026886	222.628494	243.529816	237.139435	279.260742	258.842133	300.042023	233.37738	245.954865	256.470642	292.155792	338.472748	372.079315	203.215363	160.176437	148.218384	189.175217	196.776047	212.133331	247.29866	259.483734	282.403442	251.054413	248.699631	247.264435
Nitab4.5_0002207g0020	0	0	0	0	0	0	0	0.19447	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Nitab4.5_0003553g0100	3.362026	3.789557	3.410283	4.422892	4.029266	3.420809	4.999256	2.905983	3.342761	3.631306	3.963585	3.95574	4.677433	3.738144	2.62534	2.783576	3.582269	4.008948	3.770029	2.888423	3.034376	3.037695	3.044348	3.652249	2.972987	3.795555	2.423116	2.935613	3.10364	3.453352
Nitab4.5_0002267g0040	18.561939	21.866653	23.009884	24.206612	22.701994	25.839968	21.500366	24.609035	25.830935	24.679071	25.360989	24.078096	32.853905	32.532578	28.050377	13.165895	13.814777	13.070981	17.46273	16.647421	16.843521	19.293083	18.572693	19.210081	21.727167	20.036024	20.594234	25.938169	25.407154	24.810951
Nitab4.5_0000889g0060	10.945924	11.392913	11.869269	12.538832	12.439677	14.471375	15.469427	13.598328	13.925076	12.371056	12.576904	10.9309	16.026445	15.375191	13.931207	9.501258	11.348323	8.949391	10.672928	10.166137	8.338867	11.923661	9.758634	12.58066	12.709797	11.482146	10.757714	13.459695	12.247996	13.991899
Nitab4.5_0000351g0140	8.238338	6.8581	7.221764	6.728818	6.707047	6.52185	7.363575	5.439493	6.246877	5.490279	5.143689	7.2916	8.708042	10.966085	11.486313	2.504875	4.547949	5.5006	3.687738	3.13461	4.703034	5.172126	3.628927	4.408877	4.500117	4.359616	5.408803	10.763099	9.300725	10.676764
Nitab4.5_0000065g0150	1.758443	1.845546	1.200284	1.186732	0.487165	1.385352	0.827692	0.561346	0.768808	0.361019	1.366866	0.980612	1.434467	0.818691	2.146419	1.61337	1.377622	1.697729	1.123269	0.945886	0.914631	1.657639	1.553348	0.712858	0.587349	1.146211	0.633897	1.451026	0.610024	1.578081
Nitab4.5_0001598g0060	0.769511	0.568423	1.070618	0.429277	0.751544	0	0.308337	0.312488	0.373357	0.464603	0.451407	0.77248	0.512625	1.594156	0.763189	0.366828	0.720501	0.971299	0.085626	0.12751	0.382787	0.334449	0.131968	0.196506	0.212667	0.256602	0.173953	0.058336	0.581553	0.639395
Nitab4.5_0003441g0020	45.350418	54.032249	63.304569	153.725739	198.882828	122.923645	128.076477	125.940529	133.806488	171.956406	224.855118	168.414444	231.31308	205.378387	201.679306	64.924965	51.920162	66.295357	340.074921	166.403519	242.078781	176.197174	175.456711	196.220383	278.35379	196.236237	240.086731	187.680847	230.209122	210.487732
Nitab4.5_0000569g0180	1.904683	1.279486	2.910106	3.381061	2.54898	3.472396	3.506742	3.249013	3.158831	1.922451	4.215089	3.00675	5.991761	5.237562	2.417649	1.227867	1.043067	2.035316	6.089555	2.901408	4.775148	2.255318	2.539704	4.08835	3.294057	2.290672	3.179034	2.914	3.962803	3.40384
Nitab4.5_0000329g0020	0.966486	0.917031	1.145977	0.755955	1.760105	1.186255	0.99578	1.694002	0.8135	0.916391	0.559953	1.851034	1.301657	1.600598	0	3.085488	3.897989	1.310415	1.468209	2.063519	1.376831	1.03111	1.183781	1.86139	2.268868	1.12569	1.136117	1.791224	0.966078	1.490095
Nitab4.5_0001096g0040	6.939365	7.746621	8.172489	7.388549	9.205739	7.601552	5.771897	7.901077	6.934133	8.533917	6.587412	5.847251	5.224277	6.265913	11.84152	6.490289	11.949824	8.932777	11.198961	9.812122	5.885874	7.343045	8.477673	6.960238	5.068252	8.020204	12.000829	5.363507	5.172649	5.433126
Nitab4.5_0000444g0230	0.305172	0.611999	0.084444	0.209599	0.088876	0.486801	0.036126	0.092174	0.203499	0.246182	0.264329	0.216466	0.176052	0.289442	0	0.083929	0	0.164343	0.327038	0	0.035538	0.087461	0	0	0	0	0.088461	0	0	0
Nitab4.5_0000645g0010	4.70215	5.27781	3.830488	2.935586	1.721816	3.123766	3.895566	1.16423	2.208635	2.180863	3.190394	3.513898	2.557051	2.353972	1.109733	3.547986	4.464458	4.06725	2.301266	2.49519	0.592238	4.150859	3.611289	4.622384	2.293579	2.929802	2.073188	2.140973	2.133664	2.786235
Nitab4.5_0000108g0410	9.005633	12.259624	10.83305	14.182848	12.129862	13.620518	11.486721	11.585454	10.768287	13.568007	14.410927	13.250066	14.071262	12.633913	11.536498	7.270417	6.90614	7.645436	10.018194	9.77863	10.09196	9.148477	9.155779	10.016467	9.395747	10.362594	8.457648	9.47541	9.600975	10.081253
